City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Puerto Ayora,-0.7393,-90.3518,71.55,96,12,6.58,EC,1652334286
Salinópolis,-0.6136,-47.3561,77.04,88,81,6.71,BR,1652334287
Busselton,-33.65,115.3333,53.56,90,100,15.37,AU,1652334224
Esperance,-33.8667,121.9,64.87,64,100,9.08,AU,1652334225
Songyang,34.4553,113.0281,68.72,56,100,6.49,CN,1652334309
Kununurra,-15.7667,128.7333,93.18,29,68,3.44,AU,1652334226
Hermanus,-34.4187,19.2345,55.27,75,0,7.2,ZA,1652334288
Yellowknife,62.456,-114.3525,30.72,86,20,6.91,CA,1652334425
Bredasdorp,-34.5322,20.0403,51.85,84,0,5.21,ZA,1652334227
Ushuaia,-54.8,-68.3,44.26,76,0,16.11,AR,1652334228
Grand-Santi,4.25,-54.3833,72.05,100,70,2.42,GF,1652334229
Dikson,73.5069,80.5464,25.54,75,4,13.13,RU,1652334229
Upernavik,72.7868,-56.1549,5.61,87,28,5.32,GL,1652334229
Chara,56.9064,118.2631,46.6,56,100,9.73,RU,1652334230
Padang,-0.9492,100.3543,87.85,65,99,3.22,ID,1652334231
Bangangté,5.1409,10.5198,63.41,93,100,2.24,CM,1652334231
Almeirim,-1.5233,-52.5817,72.66,95,31,3.22,BR,1652334232
Liverpool,53.4106,-2.9779,51.3,86,40,10.36,GB,1652334077
Ancud,-41.8697,-73.8203,50.77,90,100,13.15,CL,1652334027
Rikitea,-23.1203,-134.9692,76.87,81,9,19.55,PF,1652334233
Saint-Philippe,-21.3585,55.7679,78.39,78,79,7.29,RE,1652334234
Bereket,39.2446,55.5154,71.35,46,87,10.09,TM,1652334234
Qaanaaq,77.484,-69.3632,9.16,67,9,7.14,GL,1652334235
Bambous Virieux,-20.3428,57.7575,79.21,78,40,6.91,MU,1652334235
Whithorn,18.2604,-78.0378,74.46,92,0,2.28,JM,1652334236
Mataura,-46.1927,168.8643,55.47,89,100,1.9,NZ,1652334237
Marystown,47.1666,-55.1483,46.85,100,100,8.14,CA,1652334237
Nauta,-4.5061,-73.5757,73.27,99,63,1.36,PE,1652334238
Hilo,19.7297,-155.09,72.25,92,100,9.22,US,1652334183
Saskylakh,71.9167,114.0833,28.83,90,52,14.76,RU,1652334238
Lebu,-37.6167,-73.65,51.69,90,100,9.71,CL,1652334239
Hobart,-42.8794,147.3294,60.26,82,0,4.61,AU,1652334019
Ghanzi,-21.5667,21.7833,62.1,28,35,5.3,BW,1652334240
Chokurdakh,70.6333,147.9167,30.88,90,98,10.78,RU,1652334240
Riyadh,24.6877,46.7219,86.14,10,0,9.93,SA,1652334215
Mount Isa,-20.7333,139.5,74.97,50,40,12.66,AU,1652334241
